Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CU-AZ-1,CU,AZ,1,CU-AZ-001,0,,,,,,,2175.78,474,2280,0,0,0,,Lower Piedmont,Deep,,,,Slight-Moderate,,,,,,,Agricultural,,700,0.4,,,,,,,,FALSE,,,L,,,,,,,,4,2,4,,AD,,Small Hamlet,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,4,,2176,474,2175780,474000,3139
CU-AZ-2,CU,AZ,2,CU-AZ-002,0,,,,,,,2176.35,473,2300,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Settlement & Agri,,700,4.1,,,,,,,,FALSE,,,L,LM,,,,,,,48,23,48,,AD,,Hamlet,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,4,,2176,473,2176350,473000,3140
CU-AZ-3,CU,AZ,3,CU-AZ-003,0,,,,,,,2176.64,472,2294,0,0,0,,Deep Soil Alluvium,Medium,,,,None,,,,,,,"Graz, Agri, & Set",,720,3,,,,,,,,FALSE,,,LM,,,,,,,,75,30,75,,AD,,Hamlet,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,4,,2177,472,2176640,472000,3141
CU-AZ-4,CU,AZ,4,CU-AZ-004,0,,,,,,,2176.08,472,2295,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Settlement & Agri,,720,0.2,,,,,,,,FALSE,,,L,,,,,,,,2,1,2,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,472,2176080,472000,3142
CU-AZ-5,CU,AZ,5,CU-AZ-005,0,,,,,,,2176.17,472,2290,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Settlement & Agri,,730,0.3,,,,,,,,FALSE,,,L,,,,,,,,3,2,3,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,472,2176170,472000,3143
CU-AZ-6,CU,AZ,6,CU-AZ-006,0,,,,,,,2176.55,472,2285,0,0,0,,Lower Piedmont-Hill,Deep,,,,None,,,,,,,Agricultural,,740,2,1,,,,,352,,FALSE,,,L,LM,,,,,,,41,17,41,,AD,,Hamlet,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,4,,2177,472,2176550,472000,3144
CU-AZ-7,CU,AZ,7,CU-AZ-007,0,,,,,,,2176.08,472,2300,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement & Agri,,740,3.5,,,,,,,,FALSE,,,L,M,,,,,,,73,28,73,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,,2176,472,2176080,472000,3145
CU-AZ-8,CU,AZ,8,CU-AZ-008,0,,,,,,,2175.63,472,2323,0,0,0,,Lower Piedmont,Shallow,,,,Slight,,,,,,,Settlement & Agri,,730,0.5,,,,,,,,FALSE,,,L,,,,,,,,5,3,5,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,472,2175630,472000,3146
CU-AZ-9,CU,AZ,9,CU-AZ-009,0,,,,,,,2175.63,471,2315,0,0,0,,Lower Piedmont,Shallow,,,,None,,,,,,,Agricultural,,760,2,,,,,,,,FALSE,,,L,M,,,,,,,60,30,60,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2176,471,2175630,471000,3147
CU-AZ-10,CU,AZ,10,CU-AZ-010,0,,,,,,,2175.09,471,2325,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,770,1.5,1,,,,,2500,,FALSE,,,L,,,,,,,,15,8,15,,HC,,Small Hamlet,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,2175,471,2175090,471000,3148
